Country ID	Country Name	WEB NAME	Region	Property Rights	Judical Effectiveness	Government Integrity	Tax Burden	Government Spending	Fiscal Health	Business Freedom	Labor Freedom	Monetary Freedom	Trade Freedom	Investment Freedom 	Financial Freedom
1	Afghanistan	Afghanistan	Asia-Pacific	5.8	5.4	12.7	-1.0	-1.0	-1.0	34.6	45.1	-1.0	-1.0	-1.0	-1.0
2	Albania	Albania	Europe	55.9	49.2	35.5	89.1	71.0	58.2	70.7	49.7	81.3	82.8	70.0	70.0
3	Algeria	Algeria	Middle East and North Africa	27.8	29.5	28.4	71.9	50.7	12.1	53.6	51.4	75.1	57.5	30.0	30.0
4	Angola	Angola	Sub-Saharan Africa	41.1	24.8	22.9	86.5	86.9	85.1	41.6	53.9	58.9	64.8	30.0	40.0
5	Argentina	Argentina	Americas	34.6	56.8	42.8	66.9	53.9	33.6	55.5	55.1	36.5	61.2	55.0	60.0
6	Armenia	Armenia	Europe	50.3	31.5	51.6	87.5	76.3	71.4	64.9	58.7	70.5	73.6	75.0	70.0
7	Australia	Australia	Asia-Pacific	90.7	94.9	83.2	63.1	47.0	24.8	88.3	64.7	80.5	89.8	80.0	90.0
8	Austria	Austria	Europe	97.0	95.2	80.9	45.7	13.0	54.5	78.5	78.8	80.4	78.6	80.0	70.0
9	Azerbaijan	Azerbaijan	Europe	51.7	15.9	26.9	87.3	63.0	98.6	68.3	55.8	70.3	68.6	70.0	60.0
10	The Bahamas	Bahamas	Americas	60.5	78.3	65.7	96.5	79.3	0.0	67.0	68.6	75.7	49.6	50.0	60.0
11	Bahrain	Bahrain	Middle East and North Africa	65.4	28.1	40.4	99.9	66.3	0.0	64.0	53.6	83.5	84.2	85.0	80.0
12	Bangladesh	Bangladesh	Asia-Pacific	36.8	28.0	22.5	82.1	94.7	63.4	56.7	46.8	70.1	62.0	50.0	40.0
13	Barbados	Barbados	Americas	71.9	86.9	68.4	79.2	69.7	73.9	68.5	62.6	78.8	57.6	60.0	60.0
14	Belarus	Belarus	Europe	31.2	11.1	38.9	89.9	57.8	94.3	53.7	47.1	66.9	70.8	30.0	20.0
15	Belgium	Belgium	Europe	92.0	91.4	81.3	50.2	8.1	31.5	79.0	57.8	80.3	78.6	85.0	70.0
